"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"AATF"	"Q9NY61"	"Protein AATF"	"AATF"	"AATF"
"ABAT"	"P80404"	"4-aminobutyrate aminotransferase, mitochondrial"	"ABAT"	"ABAT"
"ABCB1"	"P08183-2;P08183"	"Multidrug resistance protein 1"	"ABCB1"	"ABCB1"
"ABCB10"	"Q9NRK6"	"ATP-binding cassette sub-family B member 10, mitochondrial"	"ABCB10"	"ABCB10"
"ABCB6"	"Q9NP58-4;Q9NP58"	"ATP-binding cassette sub-family B member 6, mitochondrial"	"ABCB6"	"ABCB6"
"ABCB7"	"O75027;O75027-2;O75027-3"	"ATP-binding cassette sub-family B member 7, mitochondrial"	"ABCB7"	"ABCB7"
"ABCC1"	"P33527-7;P33527-4;P33527-3;P33527;P33527-9;P33527-8;P33527-6;P33527-5;P33527-2"	"Multidrug resistance-associated protein 1"	"ABCC1"	"ABCC1"
"ABCC3"	"O15438;O15438-4;O15438-2;O15438-5"	"Canalicular multispecific organic anion transporter 2"	"ABCC3"	"ABCC3"
"ABCD3"	"P28288"	"ATP-binding cassette sub-family D member 3"	"ABCD3"	"ABCD3"
"ABCE1"	"P61221"	"ATP-binding cassette sub-family E member 1"	"ABCE1"	"ABCE1"
"ABCF1"	"Q8NE71-2;Q8NE71"	"ATP-binding cassette sub-family F member 1"	"ABCF1"	"ABCF1"
"ABCF2"	"Q9UG63;Q9UG63-2"	"ATP-binding cassette sub-family F member 2"	"ABCF2"	"ABCF2"
"ABCF3"	"Q9NUQ8;Q9NUQ8-2"	"ATP-binding cassette sub-family F member 3"	"ABCF3"	"ABCF3"
"ABHD10"	"Q9NUJ1;Q9NUJ1-2;Q9NUJ1-3"	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	"ABHD10"	"ABHD10"
"ABHD11"	"Q8NFV4;Q8NFV4-4;Q8NFV4-6;Q8NFV4-3;Q8NFV4-2;Q8NFV4-5"	"Alpha/beta hydrolase domain-containing protein 11"	"ABHD11"	"ABHD11"
"ABHD12"	"Q8N2K0;Q8N2K0-2;Q8N2K0-3"	"Monoacylglycerol lipase ABHD12"	"ABHD12"	"ABHD12"
"ABHD14B"	"Q96IU4;Q96IU4-2"	"Alpha/beta hydrolase domain-containing protein 14B"	"ABHD14B"	"ABHD14B"
"ABHD16A"	"O95870;O95870-2"	"Abhydrolase domain-containing protein 16A"	"ABHD16A"	"ABHD16A"
"ABHD17B"	"Q5VST6;Q5VST6-2"	"Alpha/beta hydrolase domain-containing protein 17B"	"ABHD17B"	"ABHD17B"
"ABHD5"	"Q8WTS1"	"1-acylglycerol-3-phosphate O-acyltransferase ABHD5"	"ABHD5"	"ABHD5"
"ABI1"	"Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11"	"Abl interactor 1"	"ABI1"	"ABI1"
"ABI2"	"Q9NYB9-2;Q9NYB9-4;Q9NYB9;Q9NYB9-3"	"Abl interactor 2"	"ABI2"	"ABI2"
"ABL1"	"P00519;P00519-2"	"Tyrosine-protein kinase ABL1"	"ABL1"	"ABL1"
"ABLIM1"	"O14639-2;O14639-6;O14639"	"Actin-binding LIM protein 1"	"ABLIM1"	"ABLIM1"
"ABLIM3"	"O94929-2;O94929-3;O94929"	"Actin-binding LIM protein 3"	"ABLIM3"	"ABLIM3"
"ABR"	"Q12979-2;Q12979-4;Q12979;Q12979-3"	"Active breakpoint cluster region-related protein"	"ABR"	"ABR"
"ABRACL"	"Q9P1F3"	"Costars family protein ABRACL"	"ABRACL"	"ABRACL"
"ACAA1"	"P09110;P09110-2"	"3-ketoacyl-CoA thiolase, peroxisomal"	"ACAA1"	"ACAA1"
"ACAA2"	"P42765"	"3-ketoacyl-CoA thiolase, mitochondrial"	"ACAA2"	"ACAA2"
"ACACA"	"Q13085-3;Q13085-2;Q13085;Q13085-4"	"Acetyl-CoA carboxylase 1;Biotin carboxylase"	"ACACA"	"ACACA"
"ACAD10"	"Q6JQN1-2;Q6JQN1;Q6JQN1-5;Q6JQN1-3;Q6JQN1-4"	"Acyl-CoA dehydrogenase family member 10"	"ACAD10"	"ACAD10"
"ACAD8"	"Q9UKU7;Q9UKU7-3;Q9UKU7-2"	"Isobutyryl-CoA dehydrogenase, mitochondrial"	"ACAD8"	"ACAD8"
"ACAD9"	"Q9H845"	"Acyl-CoA dehydrogenase family member 9, mitochondrial"	"ACAD9"	"ACAD9"
"ACADM"	"P11310;P11310-2"	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADM"	"ACADM"
"ACADS"	"P16219"	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADS"	"ACADS"
"ACADSB"	"P45954;P45954-2"	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADSB"	"ACADSB"
"ACADVL"	"P49748;P49748-3;P49748-2"	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADVL"	"ACADVL"
"ACAP2"	"Q15057"	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	"ACAP2"	"ACAP2"
"ACAT1"	"P24752;P24752-2"	"Acetyl-CoA acetyltransferase, mitochondrial"	"ACAT1"	"ACAT1"
"ACAT2"	"Q9BWD1;Q9BWD1-2"	"Acetyl-CoA acetyltransferase, cytosolic"	"ACAT2"	"ACAT2"
"ACBD3"	"Q9H3P7"	"Golgi resident protein GCP60"	"ACBD3"	"ACBD3"
"ACBD5"	"Q5T8D3-2;Q5T8D3-3;Q5T8D3;Q8NC06;Q8NC06-2;Q8NC06-3"	"Acyl-CoA-binding domain-containing protein 5"	"ACBD5"	"ACBD5"
"ACBD6"	"Q9BR61"	"Acyl-CoA-binding domain-containing protein 6"	"ACBD6"	"ACBD6"
"ACCS"	"Q96QU6;Q96QU6-2"	"1-aminocyclopropane-1-carboxylate synthase-like protein 1"	"ACCS"	"ACCS"
"ACE"	"P12821;P12821-2;P12821-4;P12821-3"	"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form"	"ACE"	"ACE"
"ACIN1"	"Q9UKV3;Q9UKV3-5;Q9UKV3-3;Q9UKV3-2"	"Apoptotic chromatin condensation inducer in the nucleus"	"ACIN1"	"ACIN1"
"ACLY"	"P53396;P53396-2;P53396-3"	"ATP-citrate synthase"	"ACLY"	"ACLY"
"ACO1"	"P21399;O00408-5;O00408-4;O00408-3;O00408"	"Cytoplasmic aconitate hydratase"	"ACO1"	"ACO1"
"ACO2"	"Q99798"	"Aconitate hydratase, mitochondrial"	"ACO2"	"ACO2"
"ACOT1"	"Q86TX2"	"Acyl-coenzyme A thioesterase 1"	"ACOT1"	"ACOT1"
"ACOT13"	"Q9NPJ3;Q9NPJ3-2"	"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed"	"ACOT13"	"ACOT13"
"ACOT9"	"Q9Y305;Q9Y305-3;Q9Y305-2;Q9Y305-4"	"Acyl-coenzyme A thioesterase 9, mitochondrial"	"ACOT9"	"ACOT9"
"ACOX1"	"Q15067-2;Q15067;Q15067-3"	"Peroxisomal acyl-coenzyme A oxidase 1"	"ACOX1"	"ACOX1"
"ACOX2"	"Q99424"	"Peroxisomal acyl-coenzyme A oxidase 2"	"ACOX2"	"ACOX2"
"ACOX3"	"O15254;O15254-2"	"Peroxisomal acyl-coenzyme A oxidase 3"	"ACOX3"	"ACOX3"
"ACP1"	"P24666;P24666-4;P24666-3;P24666-2"	"Low molecular weight phosphotyrosine protein phosphatase"	"ACP1"	"ACP1"
"ACP2"	"P11117;P11117-2"	"Lysosomal acid phosphatase"	"ACP2"	"ACP2"
"ACP6"	"Q9NPH0;Q9NPH0-2"	"Lysophosphatidic acid phosphatase type 6"	"ACP6"	"ACP6"
"ACPP"	"P15309-3;P15309;P15309-2"	"Prostatic acid phosphatase;PAPf39"	"ACPP"	"ACPP"
"ACSF2"	"Q96CM8-3;Q96CM8;Q96CM8-2;Q96CM8-4"	"Acyl-CoA synthetase family member 2, mitochondrial"	"ACSF2"	"ACSF2"
"ACSF3"	"Q4G176"	"Acyl-CoA synthetase family member 3, mitochondrial"	"ACSF3"	"ACSF3"
"ACSL1"	"P33121;P33121-2;Q9UKU0-7;Q9UKU0-2;Q9UKU0-5;Q9UKU0-3;Q9UKU0;Q9UKU0-9;Q9UKU0-6;Q9UKU0-8;Q9UKU0-1"	"Long-chain-fatty-acid--CoA ligase 1"	"ACSL1"	"ACSL1"
"ACSL3"	"O95573"	"Long-chain-fatty-acid--CoA ligase 3"	"ACSL3"	"ACSL3"
"ACSL4"	"O60488-2;O60488"	"Long-chain-fatty-acid--CoA ligase 4"	"ACSL4"	"ACSL4"
"ACSL5"	"Q9ULC5;Q9ULC5-3;Q9ULC5-4"	"Long-chain-fatty-acid--CoA ligase 5"	"ACSL5"	"ACSL5"
"ACSS1"	"Q9NUB1-2;Q9NUB1;Q9NUB1-3;Q9NUB1-4"	"Acetyl-coenzyme A synthetase 2-like, mitochondrial"	"ACSS1"	"ACSS1"
"ACSS2"	"Q9NR19;Q9NR19-2"	"Acetyl-coenzyme A synthetase, cytoplasmic"	"ACSS2"	"ACSS2"
"ACSS3"	"Q9H6R3;Q9H6R3-2"	"Acyl-CoA synthetase short-chain family member 3, mitochondrial"	"ACSS3"	"ACSS3"
"ACTA2"	"P62736"	"Actin, aortic smooth muscle"	"ACTA2"	"ACTA2"
"ACTB"	"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39"	"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed"	"ACTB"	"ACTB"
"ACTG1"	"P63261"	"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed"	"ACTG1"	"ACTG1"
"ACTG2"	"P63267;P63267-2"	"Actin, gamma-enteric smooth muscle"	"ACTG2"	"ACTG2"
"ACTL6A"	"O96019;O96019-2;O94805"	"Actin-like protein 6A"	"ACTL6A"	"ACTL6A"
"ACTN1"	"P12814-3;P12814-2;P12814-4"	"Alpha-actinin-1"	"ACTN1"	"ACTN1"
"ACTN4"	"O43707;O43707-2;O43707-3"	"Alpha-actinin-4"	"ACTN4"	"ACTN4"
"ACTR10"	"Q9NZ32"	"Actin-related protein 10"	"ACTR10"	"ACTR10"
"ACTR1A"	"P61163"	"Alpha-centractin"	"ACTR1A"	"ACTR1A"
"ACTR1B"	"P42025"	"Beta-centractin"	"ACTR1B"	"ACTR1B"
"ACTR2"	"P61160;P61160-2"	"Actin-related protein 2"	"ACTR2"	"ACTR2"
"ACTR3"	"P61158;Q9P1U1-2;Q9C0K3"	"Actin-related protein 3"	"ACTR3"	"ACTR3"
"ACTR5"	"Q9H9F9"	"Actin-related protein 5"	"ACTR5"	"ACTR5"
"ACTR8"	"Q9H981-2;Q9H981;Q9H981-3"	"Actin-related protein 8"	"ACTR8"	"ACTR8"
"ACY1"	"Q03154;Q03154-2;Q03154-4;Q03154-3"	"Aminoacylase-1"	"ACY1"	"ACY1"
"ACYP1"	"P07311;P07311-2"	"Acylphosphatase-1"	"ACYP1"	"ACYP1"
"ACYP2"	"P14621"	"Acylphosphatase-2"	"ACYP2"	"ACYP2"
"ADAM10"	"O14672;O14672-2"	"Disintegrin and metalloproteinase domain-containing protein 10"	"ADAM10"	"ADAM10"
"ADAM17"	"P78536;P78536-2"	"Disintegrin and metalloproteinase domain-containing protein 17"	"ADAM17"	"ADAM17"
"ADAM9"	"Q13443;Q13443-2"	"Disintegrin and metalloproteinase domain-containing protein 9"	"ADAM9"	"ADAM9"
"ADAR"	"P55265-5;P55265;P55265-4"	"Double-stranded RNA-specific adenosine deaminase"	"ADAR"	"ADAR"
"ADCK3"	"Q8NI60;Q8NI60-3;Q8NI60-4"	"Atypical kinase ADCK3, mitochondrial"	"ADCK3"	"ADCK3"
"ADCK4"	"Q96D53;Q96D53-2"	"AarF domain-containing protein kinase 4"	"ADCK4"	"ADCK4"
"ADD1"	"P35611-2;P35611-6;P35611;P35611-3;P35611-4;P35611-5;P35612-2;P35612-8;P35612-9;P35612-4;P35612-3;P35612"	"Alpha-adducin"	"ADD1"	"ADD1"
"ADD3"	"Q9UEY8-2;Q9UEY8"	"Gamma-adducin"	"ADD3"	"ADD3"
"ADH1B"	"P00325;P00325-2;P00326;P08319;P08319-2"	"Alcohol dehydrogenase 1B"	"ADH1B"	"ADH1B"
"ADH5"	"P11766"	"Alcohol dehydrogenase class-3"	"ADH5"	"ADH5"
"ADHFE1"	"Q8IWW8-4;Q8IWW8-2;Q8IWW8-3;Q8IWW8"	"Hydroxyacid-oxoacid transhydrogenase, mitochondrial"	"ADHFE1"	"ADHFE1"
"ADI1"	"Q9BV57"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"ADI1"	"ADI1"
"ADIRF"	"Q15847"	"Adipogenesis regulatory factor"	"ADIRF"	"ADIRF"
"ADK"	"P55263;P55263-2;P55263-3;P55263-4"	"Adenosine kinase"	"ADK"	"ADK"
"ADNP"	"Q9H2P0"	"Activity-dependent neuroprotector homeobox protein"	"ADNP"	"ADNP"
"ADO"	"Q96SZ5"	"2-aminoethanethiol dioxygenase"	"ADO"	"ADO"
"ADPGK"	"Q9BRR6-2;Q9BRR6;Q9BRR6-3;Q9BRR6-4;Q9BRR6-6;Q9BRR6-5"	"ADP-dependent glucokinase"	"ADPGK"	"ADPGK"
"ADPRH"	"P54922"	"[Protein ADP-ribosylarginine] hydrolase"	"ADPRH"	"ADPRH"
"ADPRHL2"	"Q9NX46"	"Poly(ADP-ribose) glycohydrolase ARH3"	"ADPRHL2"	"ADPRHL2"
"ADRBK1;ADRBK2"	"P25098;P35626"	"Beta-adrenergic receptor kinase 1;Beta-adrenergic receptor kinase 2"	"ADRBK1;ADRBK2"	"ADRBK1;ADRBK2"
"ADRM1"	"Q16186"	"Proteasomal ubiquitin receptor ADRM1"	"ADRM1"	"ADRM1"
"ADSL"	"P30566;P30566-2"	"Adenylosuccinate lyase"	"ADSL"	"ADSL"
"ADSS"	"P30520"	"Adenylosuccinate synthetase isozyme 2"	"ADSS"	"ADSS"
"AEBP1"	"Q8IUX7;Q8IUX7-2"	"Adipocyte enhancer-binding protein 1"	"AEBP1"	"AEBP1"
"AES"	"Q08117;Q08117-2"	"Amino-terminal enhancer of split"	"AES"	"AES"
"AFAP1"	"Q8N556;Q8N556-2"	"Actin filament-associated protein 1"	"AFAP1"	"AFAP1"
"AFAP1L2"	"Q8N4X5;Q8N4X5-2;Q8N4X5-4;Q8N4X5-3"	"Actin filament-associated protein 1-like 2"	"AFAP1L2"	"AFAP1L2"
"AFF4"	"Q9UHB7;Q9UHB7-2;Q9UHB7-3"	"AF4/FMR2 family member 4"	"AFF4"	"AFF4"
"AFG3L2"	"Q9Y4W6"	"AFG3-like protein 2"	"AFG3L2"	"AFG3L2"
"AFMID"	"Q63HM1;Q63HM1-2"	"Kynurenine formamidase"	"AFMID"	"AFMID"
"AFTPH"	"Q6ULP2-5;Q6ULP2-2;Q6ULP2-4;Q6ULP2;Q6ULP2-3"	"Aftiphilin"	"AFTPH"	"AFTPH"
"AGA"	"P20933"	"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain"	"AGA"	"AGA"
"AGAP1"	"Q9UPQ3-2;Q9UPQ3;Q9UPQ3-3;Q8TF27;A8MT82;A6NIR3"	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1"	"AGAP1"	"AGAP1"
"AGAP3"	"Q96P47;Q96P47-2;Q96P47-4;Q96P47-3;Q96P47-6;Q96P47-5"	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"	"AGAP3"	"AGAP3"
"AGFG1"	"P52594-2;P52594-3;P52594;P52594-4"	"Arf-GAP domain and FG repeat-containing protein 1"	"AGFG1"	"AGFG1"
"AGFG2"	"O95081;O95081-2"	"Arf-GAP domain and FG repeat-containing protein 2"	"AGFG2"	"AGFG2"
"AGK"	"Q53H12;Q53H12-2"	"Acylglycerol kinase, mitochondrial"	"AGK"	"AGK"
"AGL"	"P35573;P35573-2;P35573-3"	"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase"	"AGL"	"AGL"
"AGO1"	"Q9UL18"	"Protein argonaute-1"	"AGO1"	"AGO1"
"AGO2"	"Q9UKV8-2;Q9UKV8"	"Protein argonaute-2"	"AGO2"	"AGO2"
"AGO3"	"Q9H9G7;Q9H9G7-2"	"Protein argonaute-3"	"AGO3"	"AGO3"
"AGPAT1"	"Q99943"	"1-acyl-sn-glycerol-3-phosphate acyltransferase alpha"	"AGPAT1"	"AGPAT1"
"AGPAT3"	"Q9NRZ7-2;Q9NRZ7;Q9NRZ7-3"	"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	"AGPAT3"	"AGPAT3"
"AGPAT5"	"Q9NUQ2"	"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	"AGPAT5"	"AGPAT5"
"AGPAT9"	"Q53EU6"	"Glycerol-3-phosphate acyltransferase 3"	"AGPAT9"	"AGPAT9"
"AGPS"	"O00116"	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	"AGPS"	"AGPS"
"AGR2"	"O95994"	"Anterior gradient protein 2 homolog"	"AGR2"	"AGR2"
"AGR3"	"Q8TD06"	"Anterior gradient protein 3 homolog"	"AGR3"	"AGR3"
"AGRN"	"O00468-6;O00468-3;O00468-5;O00468-4;O00468-7;O00468;O00468-2"	"Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment"	"AGRN"	"AGRN"
"AGTRAP"	"Q6RW13;Q6RW13-2"	"Type-1 angiotensin II receptor-associated protein"	"AGTRAP"	"AGTRAP"
"AHCTF1"	"Q8WYP5;Q8WYP5-3;Q8WYP5-2"	"Protein ELYS"	"AHCTF1"	"AHCTF1"
"AHCY"	"P23526;P23526-2"	"Adenosylhomocysteinase"	"AHCY"	"AHCY"
"AHCYL1"	"O43865;O43865-2"	"Putative adenosylhomocysteinase 2"	"AHCYL1"	"AHCYL1"
"AHCYL2"	"Q96HN2-2;Q96HN2;Q96HN2-4;Q96HN2-3"	"Putative adenosylhomocysteinase 3"	"AHCYL2"	"AHCYL2"
"AHDC1"	"Q5TGY3"	"AT-hook DNA-binding motif-containing protein 1"	"AHDC1"	"AHDC1"
"AHNAK"	"Q09666;Q09666-2"	"Neuroblast differentiation-associated protein AHNAK"	"AHNAK"	"AHNAK"
"AHNAK2"	"Q8IVF2-3;Q8IVF2;Q8IVF2-2"	"Protein AHNAK2"	"AHNAK2"	"AHNAK2"
"AHR"	"P35869"	"Aryl hydrocarbon receptor"	"AHR"	"AHR"
"AHSA1"	"O95433;O95433-2"	"Activator of 90 kDa heat shock protein ATPase homolog 1"	"AHSA1"	"AHSA1"
"AIDA"	"Q96BJ3;Q96BJ3-2;Q96BJ3-3"	"Axin interactor, dorsalization-associated protein"	"AIDA"	"AIDA"
"AIF1L"	"Q9BQI0-3;Q9BQI0;Q9BQI0-2;Q9BQI0-4"	"Allograft inflammatory factor 1-like"	"AIF1L"	"AIF1L"
"AIFM1"	"O95831;O95831-3;O95831-2;O95831-5;O95831-4;O95831-6"	"Apoptosis-inducing factor 1, mitochondrial"	"AIFM1"	"AIFM1"
"AIM1"	"Q9Y4K1;Q9Y4K1-2"	"Absent in melanoma 1 protein"	"AIM1"	"AIM1"
"AIMP1"	"Q12904;Q12904-2"	"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2"	"AIMP1"	"AIMP1"
"AIMP2"	"Q13155"	"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2"	"AIMP2"	"AIMP2"
"AIP"	"O00170"	"AH receptor-interacting protein"	"AIP"	"AIP"
"AJUBA"	"Q96IF1"	"LIM domain-containing protein ajuba"	"AJUBA"	"AJUBA"
"AK1"	"P00568"	"Adenylate kinase isoenzyme 1"	"AK1"	"AK1"
"AK2"	"P54819-2;P54819;P54819-5;P54819-3;P54819-6;P54819-4"	"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed"	"AK2"	"AK2"
"AK3"	"Q9UIJ7;Q9UIJ7-3;Q9UIJ7-2"	"GTP:AMP phosphotransferase AK3, mitochondrial"	"AK3"	"AK3"
"AK4"	"P27144"	"Adenylate kinase 4, mitochondrial"	"AK4"	"AK4"
"AK5"	"Q9Y6K8-3;Q9Y6K8;Q9Y6K8-2"	"Adenylate kinase isoenzyme 5"	"AK5"	"AK5"
"AKAP1"	"Q92667-2;Q92667"	"A-kinase anchor protein 1, mitochondrial"	"AKAP1"	"AKAP1"
"AKAP10"	"O43572"	"A-kinase anchor protein 10, mitochondrial"	"AKAP10"	"AKAP10"
"AKAP12"	"Q02952-3;Q02952-2;Q02952"	"A-kinase anchor protein 12"	"AKAP12"	"AKAP12"
"AKAP13"	"Q12802-4;Q12802;Q12802-2;Q12802-5"	"A-kinase anchor protein 13"	"AKAP13"	"AKAP13"
"AKAP2"	"Q9Y2D5-6;Q9Y2D5-4;Q9Y2D5-5;Q9Y2D5-7;Q9Y2D5"	"A-kinase anchor protein 2"	"AKAP2"	"AKAP2"
"AKAP8"	"O43823"	"A-kinase anchor protein 8"	"AKAP8"	"AKAP8"
"AKAP8L"	"Q9ULX6;Q9ULX6-2"	"A-kinase anchor protein 8-like"	"AKAP8L"	"AKAP8L"
"AKAP9"	"Q99996-5;Q99996-3;Q99996-2;Q99996;Q99996-6;Q99996-4"	"A-kinase anchor protein 9"	"AKAP9"	"AKAP9"
"AKR1A1"	"P14550"	"Alcohol dehydrogenase [NADP(+)]"	"AKR1A1"	"AKR1A1"
"AKR1B1"	"P15121;C9JRZ8"	"Aldose reductase"	"AKR1B1"	"AKR1B1"
"AKR1C1"	"Q04828;P17516"	"Aldo-keto reductase family 1 member C1"	"AKR1C1"	"AKR1C1"
"AKR1C2"	"P52895;P52895-2"	"Aldo-keto reductase family 1 member C2"	"AKR1C2"	"AKR1C2"
"AKR1C3"	"P42330;P42330-2"	"Aldo-keto reductase family 1 member C3"	"AKR1C3"	"AKR1C3"
"AKR7A2"	"O43488"	"Aflatoxin B1 aldehyde reductase member 2"	"AKR7A2"	"AKR7A2"
"AKR7A3"	"O95154"	"Aflatoxin B1 aldehyde reductase member 3"	"AKR7A3"	"AKR7A3"
"AKT1"	"P31749;P31749-2"	"RAC-alpha serine/threonine-protein kinase"	"AKT1"	"AKT1"
"AKT1S1"	"Q96B36;Q96B36-2;Q96B36-3"	"Proline-rich AKT1 substrate 1"	"AKT1S1"	"AKT1S1"
"AKTIP"	"Q9H8T0;Q9H8T0-2"	"AKT-interacting protein"	"AKTIP"	"AKTIP"
"ALAD"	"P13716;P13716-2"	"Delta-aminolevulinic acid dehydratase"	"ALAD"	"ALAD"
"ALCAM"	"Q13740-2;Q13740;Q13740-4;Q13740-3"	"CD166 antigen"	"ALCAM"	"ALCAM"
"ALDH16A1"	"Q8IZ83;Q8IZ83-3;Q8IZ83-2"	"Aldehyde dehydrogenase family 16 member A1"	"ALDH16A1"	"ALDH16A1"
"ALDH18A1"	"P54886;P54886-2"	"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"	"ALDH18A1"	"ALDH18A1"
"ALDH1A1"	"P00352"	"Retinal dehydrogenase 1"	"ALDH1A1"	"ALDH1A1"
"ALDH1A3"	"P47895"	"Aldehyde dehydrogenase family 1 member A3"	"ALDH1A3"	"ALDH1A3"
"ALDH1B1"	"P30837"	"Aldehyde dehydrogenase X, mitochondrial"	"ALDH1B1"	"ALDH1B1"
"ALDH1L1"	"O75891;O75891-3;O75891-2"	"Cytosolic 10-formyltetrahydrofolate dehydrogenase"	"ALDH1L1"	"ALDH1L1"
"ALDH1L2"	"Q3SY69;Q3SY69-3;Q3SY69-2"	"Mitochondrial 10-formyltetrahydrofolate dehydrogenase"	"ALDH1L2"	"ALDH1L2"
"ALDH2"	"P05091;P05091-2"	"Aldehyde dehydrogenase, mitochondrial"	"ALDH2"	"ALDH2"
"ALDH3A1"	"P30838"	"Aldehyde dehydrogenase, dimeric NADP-preferring"	"ALDH3A1"	"ALDH3A1"
"ALDH3A2"	"P51648;P51648-2;P48448;P43353-2;P43353"	"Fatty aldehyde dehydrogenase"	"ALDH3A2"	"ALDH3A2"
"ALDH4A1"	"P30038;P30038-2;P30038-3"	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	"ALDH4A1"	"ALDH4A1"
"ALDH5A1"	"P51649;P51649-2"	"Succinate-semialdehyde dehydrogenase, mitochondrial"	"ALDH5A1"	"ALDH5A1"
